pid,skill_name,endorsement
89,Legal Tracker,0
90,Curriculum Development,27
90,Curriculum Design,26
90,Teaching,20
90,Research,12
90,Program Management,9
90,Start-ups,8
90,Entrepreneurship,5
90,Nonprofits,5
90,Program Evaluation,4
90,Program Development,4
90,Project Management,3
90,Staff Development,18
90,Public Speaking,7
90,Teacher Training,7
90,Training,5
90,Qualitative Research,4
90,Community Outreach,2
90,Grants,1
91,Web Development,4
92,Natural Language Processing,9
92,Machine Learning,8
92,Artificial Intelligence,4
92,Statistical Modeling,4
92,Algorithms,1
92,Data Mining,1
92,Agile Methodologies,1
92,Computer Science,0
92,Image Processing,0
92,Research,0
92,Programming,0
92,Python,4
92,C++,1
92,Java,1
92,Hadoop,1
92,SQL,1
92,LaTeX,1
92,Git,1
92,Perl,1
92,C,0
92,XML,0
92,HTML,0
92,JUnit,0
92,Eclipse,0
92,Subversion,0
92,Ruby,0
92,Linux,0
92,Machine Translation,1
92,Weka,1
92,Data Science,1
92,Information Retrieval,0
92,Text Classification,0
92,Parsing,0
92,Boost,0
92,Qt,0
92,Nutch,0
92,Solr,0
92,GNU/Linux,0
92,Mallet,0
92,Emacs,0
92,Structured Prediction,0
92,Machine Reading,0
93,Higher Education,5
93,University Teaching,4
93,Teaching,3
93,Curriculum Development,2
93,Curriculum Design,2
93,Grant Writing,1
93,Instructional Design,1
93,Adult Education,1
93,Educational Technology,1
93,Mathematica,1
93,Tutoring,2
101,Social Media,16
101,Non-profits,4
101,Nonprofits,8
101,Research,2
101,SEO,3
101,Social Media Marketing,3
101,Project Management,2
101,Writing,2
101,Editing,3
101,CMS,1
101,Community Outreach,8
101,Training,1
101,Management,4
101,Fundraising,1
103,JavaScript,18
103,CMS,15
103,Perl,10
103,Content Management,10
103,Web Development,8
103,Programming,4
103,E-commerce,2
103,Software Documentation,1
103,SQL,5
103,Java,4
103,JSP,3
103,XML,2
103,XHTML,2
103,Web Content Management,2
104,Oracle E-Business Suite,26
104,Business Analysis,22
104,Integration,19
104,Business Intelligence,18
104,ERP,14
104,Requirements Analysis,8
104,Business Process,7
104,Enterprise Resource Planning (ERP),7
104,Software Project Management,5
104,Solution Architecture,5
104,Project Management,4
104,Data Warehousing,3
104,Program Management,2
104,Systems Engineering,1
104,Oracle,16
104,Enterprise Software,12
104,PL/SQL,12
104,Oracle Applications,11
104,SQL,9
104,Databases,3
104,Management,5
104,Customer Support,2
104,Mac OS X Server,1
104,"Languages Perl, HTML, PL/SQL, SQL, RPT Tools Developer 2000, SQL*Plu",1
104,Cloud Computing Foundation course,1
104,EXIN Cloud Computing Foundation Course,1
105,Databases,16
105,Nonprofits,12
105,Salesforce.com,11
105,Data Analysis,7
105,Project Management,5
105,Database Administration,5
105,Strategic Planning,5
105,Program Management,3
105,Non-profits,2
105,Consulting,2
105,Nonprofit Organizations,2
105,Fundraising,7
105,Training,5
105,Raiser's Edge,10
106,Algorithms,20
106,Distributed Systems,15
106,Software Engineering,15
106,Machine Learning,9
106,Computer Science,7
106,Programming,6
106,Computer Graphics,5
106,Software Design,4
106,Software Development,3
106,System Architecture,1
106,OOP,1
106,C++,13
106,Python,11
106,Linux,7
106,Java,4
106,OpenGL,4
106,C,4
106,Matlab,3
106,C#,2
106,Android,2
106,Perl,2
106,Embedded Systems,1
106,Embedded Software,1
107,Product Management,35
107,Lead Generation,29
107,Web Analytics,24
107,Online Advertising,18
107,SEM,15
107,Affiliate Marketing,14
107,Online Marketing,13
107,PPC,10
107,SEO,9
107,E-commerce,8
107,Analytics,8
107,Project Management,6
107,Search Engine Optimization (SEO),5
107,Search Engine Marketing (SEM),4
107,Pay Per Click (PPC),3
107,Digital Marketing,2
107,Google Analytics,5
107,Google Adwords,2
108,Facial Expressions,4
108,Ice Climbing,4
108,Pizza,1
108,JavaScript,10
108,HTML,8
108,Git,7
108,CSS,6
108,SQL,4
108,Responsibility,2
108,Wow,7
109,Web Development,0
109,WordPress,0
109,Web Services,0
110,Python,0
110,C,0
110,C++,0
110,Web Development,0
110,Java,0
110,Sage,0
110,SQL,0
110,EViews,0
110,HTML,0
110,SASS,0
110,CSS,0
110,JavaScript,0
110,x86 Assembly,0
111,MongoDB,22
111,CSS,22
111,JavaScript,19
111,User Experience,12
111,Web Development,11
111,Information Architecture,8
111,SEO,6
111,Web Applications,6
111,Mobile Applications,6
111,Agile Methodologies,6
111,E-commerce,5
111,Web Design,3
111,iOS development,3
111,Software Development,3
111,User Interface Design,2
111,Agile Project Management,2
111,User Interface,1
111,Web Project Management,1
111,Cloud Computing,1
111,Scalability,1
111,Linux System Administration,1
111,SDLC,1
111,Earned Value Management,0
111,Risk Assessment,0
111,PMP,0
111,Software Engineering,0
111,jQuery,14
111,PHP,12
111,MySQL,12
111,HTML,10
111,Apache,10
111,Subversion,7
111,Node.js,6
111,Linux,6
111,AJAX,5
111,JSON,5
111,WordPress,4
111,LAMP,4
111,Git,4
111,XML,3
111,Google Analytics,3
111,Databases,3
111,SQL,3
111,OS X,2
111,CMS,2
111,ActionScript,2
111,Amazon Web Services (AWS),2
111,HTML 5,1
111,Zend Framework,4
111,IT Project & Program Management,0
114,Research,2
114,Teaching,2
114,PowerPoint,1
114,Microsoft Word,0
114,Windows,0
114,Customer Service,0
114,Public Speaking,0
114,English,1
115,Java,4
115,Programming,2
117,IT Service Management,16
117,Project Management,12
117,Service Delivery,11
